L 10/03/2025 - 13:36:51: [03/10/2025 - 13:36:51] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:51: [03/10/2025 - 13:36:51] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:51: [03/10/2025 - 13:36:51] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:52: [03/10/2025 - 13:36:52] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:52: [03/10/2025 - 13:36:52] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:52: [03/10/2025 - 13:36:52] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 13:36:53: [03/10/2025 - 13:36:53] VT [STEAM_0:0:517260345] - NoRecoil: No-recoil detected (Recoil Control: 100.0%)
L 10/03/2025 - 14:09:16: [03/10/2025 - 14:09:16] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 33.3%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 41.6%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 46.1%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 50.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:17: [03/10/2025 - 14:24:17] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 53.3%, Threshold: 20.0%)
L 10/03/2025 - 14:24:18: [03/10/2025 - 14:24:18] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 56.2%, Threshold: 20.0%)
L 10/03/2025 - 14:24:21: [03/10/2025 - 14:24:21] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 52.9%, Threshold: 20.0%)
L 10/03/2025 - 14:24:25: [03/10/2025 - 14:24:25] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 50.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:25: [03/10/2025 - 14:24:25] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 47.3%, Threshold: 20.0%)
L 10/03/2025 - 14:24:26: [03/10/2025 - 14:24:26] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 50.0%, Threshold: 20.0%)
L 10/03/2025 - 14:24:26: [03/10/2025 - 14:24:26] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 47.6%, Threshold: 20.0%)
L 10/03/2025 - 14:24:26: [03/10/2025 - 14:24:26] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 45.4%, Threshold: 20.0%)
L 10/03/2025 - 14:34:46: [03/10/2025 - 14:34:46] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 100.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:46: [03/10/2025 - 14:34:46] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 50.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:46: [03/10/2025 - 14:34:46] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 33.3%, Threshold: 20.0%)
L 10/03/2025 - 14:34:46: [03/10/2025 - 14:34:46] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 25.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:46: [03/10/2025 - 14:34:46] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 20.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 21.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 20.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 23.8%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 22.7%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 21.7%, Threshold: 20.0%)
L 10/03/2025 - 14:34:50: [03/10/2025 - 14:34:50] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 25.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:51: [03/10/2025 - 14:34:51] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 28.0%, Threshold: 20.0%)
L 10/03/2025 - 14:34:51: [03/10/2025 - 14:34:51] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 30.7%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 42.8%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 37.5%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 33.3%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 30.0%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 27.2%, Threshold: 20.0%)
L 10/03/2025 - 14:39:40: [03/10/2025 - 14:39:40] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 25.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:17: [03/10/2025 - 14:47:17] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 21.4%, Threshold: 20.0%)
L 10/03/2025 - 14:47:17: [03/10/2025 - 14:47:17] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 20.6%, Threshold: 20.0%)
L 10/03/2025 - 14:47:17: [03/10/2025 - 14:47:17] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 20.0%, Threshold: 20.0%)
L 10/03/2025 - 14:47:18: [03/10/2025 - 14:47:18] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 21.2%, Threshold: 20.0%)
L 10/03/2025 - 14:47:18: [03/10/2025 - 14:47:18] [₦н] SyntX [STEAM_0:1:610472249] - NoRecoil: No-recoil detected (Recoil Control: 23.5%, Threshold: 20.0%)
